DisplayName,InternalName,FieldType,Choices,Required,Default,Notes
🏢 Unit 🏢,Unit,Choice,GT8 CVPCU; GT7 CARDIAC PCU; GT6 CPPCU; WT8 STPCU,TRUE,GT8 CVPCU,
🔢 MRN 🔢,MRN,Text,,FALSE,,
🛏️ Room 🛏️,Room,Text,,FALSE,,
👤 Name 👤,Name,Text,,FALSE,,
📅 Admit Date 📅,AdmitDate,DateTime,DateOnly,FALSE,,
📅 LOS 📅,LOS,Text,,FALSE,,
📅 Sx Date 📅,SxDate,DateTime,DateOnly,FALSE,,
Pre Op,PreOp,Choice,True; False,FALSE,False,
📅 EDD 📅,EDD,DateTime,DateOnly,FALSE,,
🏥 Surgery 🏥,Surgery,Text,,FALSE,,
🏥 Service Line 🏥,ServiceLine,Choice,CTsx; CVmed; Transplant; Cardiology; Vascular; Thoracic; Other,FALSE,,
👨‍⚕️ Surgeon/Cardio 👨‍⚕️,SurgeonCardio,Text,,FALSE,,
📝 PMH/Procedures 📝,PMHProcedures,Note,,FALSE,,
📝 Admit Reason 📝,AdmitReason,Text,,FALSE,,
📋 Leader Action Items 📋,LeaderActionItems,Note,,FALSE,,
🩺 Clinical Needs to Continue Admission 🩺,ClinicalNeeds,Note,,FALSE,,
🏠 Dispo 🏠,Dispo,Choice,SNF; Home No Needs; HHC DME ONLY; HHC; IPR-AH; HHC ABX ONLY; Hospice; Palliative; Rehab; Other,FALSE,,
🩹 Braden 🩹,Braden,Text,,FALSE,,
🧠 Mentation 🧠,Mentation,Text,,FALSE,,
💧 Drip 💧,Drip,Note,,FALSE,,
🚫 Isolation 🚫,Isolation,Text,,FALSE,,
📈 Rhythm 📈,Rhythm,Text,,FALSE,,
🩸 Anticoagulation 🩸,Anticoagulation,Text,,FALSE,,
⏱️ Time Crit ⏱️,TimeCrit,Text,,FALSE,,
📜 DNR 📜,DNR,Choice,True; False,FALSE,False,
⚖️ AdmitWeight ⚖️,AdmitWeight,Text,,FALSE,,
⚖️ WeightToday ⚖️,WeightToday,Text,,FALSE,,
WeightChange,WeightChange,Text,,FALSE,,
Consultants Pending,ConsultantsPending,Note,,FALSE,,
👨‍⚕️ AttendingMD 👨‍⚕️,AttendingMD,Text,,FALSE,,
SkinAssessVerified,SkinAssessVerified,Choice,True; False,FALSE,False,
MCB,MCB,Choice,True; False,FALSE,False,
Arrival Time,ArrivalTime,Text,,FALSE,,
🎂 Age 🎂,Age,Text,,FALSE,,
🚶 Mobility 🚶,Mobility,Text,,FALSE,,
🧪 Chest Tube 🧪,ChestTube,Note,,FALSE,,
Going Home With AC?,GoingHomeWithAC,Text,,FALSE,,
🎛️ HD at Home or Inpatient? 🎛️,HDAtHomeOrInpatient,Text,,FALSE,,
🫁 O2 Device 🫁,O2Device,Text,,FALSE,,
🫁 O2L/% 🫁,O2FlowRate,Text,,FALSE,,
🛋️ DC Lounge 🛋️,DCLounge,Choice,True; False,FALSE,False,
Appts Made,ApptsMade,Choice,True; False,FALSE,False,
Pharmacy Verified,PharmacyVerified,Choice,True; False,FALSE,False,
🚗 Ride AVL 🚗,RideAVL,Choice,True; False,FALSE,False,
💊 PO Pain 💊,POPain,Text,,FALSE,,
💩 BM 💩,BM,Text,,FALSE,,
Comments/Updates,CommentsUpdates,Note,,FALSE,,
DC Order,DCOrder,Choice,True; False,FALSE,False,
Med Rec,MedRec,Choice,True; False,FALSE,False,
🚶 Walk Test Completed 🚶,WalkTestCompleted,Choice,True; False,FALSE,False,
🚶 Walk Test Needed 🚶,WalkTestNeeded,Choice,True; False,FALSE,False,
💉 IV Meds 💉,IVMeds,Text,,FALSE,,
DC TODAY,DCTODAY,Choice,True; False,FALSE,False,
🫁 IS 🫁,IS,Choice,True; False,FALSE,False,
🏠 ALL DC BARRIERS 🏠,NonClinicalDCBarriers,Note,,FALSE,,
Misaligned Dispo,MisalignedDispo,Choice,True; False,FALSE,False,
pre op,preop2,Choice,True; False,FALSE,False,
SurgeryBarriers,SurgeryBarriers,Note,,FALSE,,
🏥 SurgeryToday 🏥,SurgeryToday,Text,,FALSE,,
🫀 VAD Type 🫀,VADType,Text,,FALSE,,
🫀 VAD Speed 🫀,VADSpeed,Text,,FALSE,,
🫀 VAD Dressing Change Order 🫀,VADDressingChangeOrder,Text,,FALSE,,
🫀 Dressing Changed 🫀,DressingChanged,Text,,FALSE,,
🫀 VAD Photo Uploaded 🫀,VADPhotoUploaded,Choice,True; False,FALSE,False,
🫀 VAD Dsr Next Due 🫀,VADDsrNextDue,Text,,FALSE,,
